Username,Section,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7.8,Ch9,Ch10,Ch11,Ch12,Ch15I,Ch15II,Ch16,Ch17,Ch18,Ch19,Ch20,AvgCrtPct
GH13f0137,4,100,100,NA,38.8888888888889,53.8461538461538,91.6666666666667,87.1428571428571,NA,97.6190476190476,45.4545454545455,100,0,75.7142857142857,82.6086956521739,84.6153846153846,66.6666666666667,NA,83.3333333333333,73.8371017066669
GH13f0047,4,82.8571428571429,0,NA,88.8888888888889,65.3846153846154,NA,NA,NA,71.4285714285714,81.8181818181818,NA,88.5714285714286,NA,43.4782608695652,96.1538461538462,82.051282051282,100,NA,72.7847470930475
GH13f0385,4,100,87.0967741935484,31.25,66.6666666666667,57.6923076923077,83.3333333333333,67.8571428571429,90.9090909090909,90.4761904761905,84.8484848484848,87.5,65.7142857142857,54.2857142857143,86.9565217391304,65.3846153846154,51.2820512820513,71.4285714285714,58.3333333333333,72.2786157858037
GH13f0411,4,94.2857142857143,93.5483870967742,56.25,75,65.3846153846154,88.8888888888889,64.2857142857143,90.9090909090909,76.1904761904762,57.5757575757576,100,0,25.7142857142857,69.5652173913043,96.1538461538462,89.7435897435898,100,45.8333333333333,71.6293842751884
GH13f0018,4,NA,83.8709677419355,59.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.6229838709677
GH13f0421,4,80,77.4193548387097,NA,60,53.8461538461538,NA,NA,81.8181818181818,78.5714285714286,90.9090909090909,100,51.4285714285714,70,47.8260869565217,76.9230769230769,55.1282051282051,78.5714285714286,70.8333333333333,71.5516608216468
GH13f0412,4,94.2857142857143,93.5483870967742,59.375,77.7777777777778,69.2307692307692,83.3333333333333,57.8571428571429,100,NA,81.8181818181818,NA,14.2857142857143,NA,60.8695652173913,NA,64.1025641025641,NA,70.8333333333333,71.3321141029767
GH13f0141,4,NA,87.0967741935484,78.125,62.2222222222222,42.3076923076923,83.3333333333333,73.5714285714286,NA,85.7142857142857,87.8787878787879,NA,57.1428571428571,NA,78.2608695652174,50,64.1025641025641,64.2857142857143,83.3333333333333,71.2410616179275
GH13f0053,4,91.4285714285714,77.4193548387097,62.5,72.2222222222222,26.9230769230769,83.3333333333333,NA,NA,92.8571428571429,3.03030303030303,100,74.2857142857143,80,52.1739130434783,84.6153846153846,74.3589743589744,78.5714285714286,83.3333333333333,71.0657970526046
GH13f0036,4,97.1428571428571,83.8709677419355,81.25,83.3333333333333,NA,NA,NA,NA,NA,57.5757575757576,100,NA,NA,30.4347826086957,76.9230769230769,35.8974358974359,NA,58.3333333333333,70.4761544556425
GH13f0126,4,NA,NA,NA,83.3333333333333,84.6153846153846,NA,65.7142857142857,NA,83.3333333333333,72.7272727272727,87.5,42.8571428571429,NA,60.8695652173913,57.6923076923077,56.4102564102564,78.5714285714286,NA,70.3294827701942
